Source,Title,Inventors,Applicants,Abstract,Patent Image URL
Espace Net,METHODOLOGY AND APPLICATION OF MAKING CUSTOMIZED COMPOSITIONS OF SUPPLEMENTS,KIM MEESUE [US]; KIM YOO SEUNG [TH],KIM MEESUE [US]; KIM YOO SEUNG [TH],"The present invention describes the methods of applying health-related data that may be generated through IoT devices. This data is analyzed through artificial intelligence algorithms based on various types of knowledge (Chinese medicine, genetic analysis information, I-Ching, specific knowledge based on philosophical analysis, iridology, vital signs, etc.) to generate customized compositions of supplements for each individual. A methodology, in which the customized compositions of supplements produced is applied to foods, beverages, and/or cosmetics, is also described.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=US&NR=2024087717A1&KC=A1&FT=D&ND=3&date=20240314&DB=&locale=fr_EP
Espace Net,"AI optical image artificial intelligence acupuncture system including a diagnosis system, a disease and human body parameter loading system, an AI operation processing system, an acupuncture chamber acupuncture point locking and displaying device, and an acupuncture plate needle application device",GAO WEI ZHI [TW],GAO WEI ZHI [TW],"An AI optical image artificial intelligence acupuncture system includes a Chinese medicine physician diagnosis system, a disease and human body parameter loading system, an AI operation processing system, an acupuncture chamber acupuncture point locking and displaying device, an AI processing system, an execution confirmation device, and an acupuncture plate needle application device. The present invention first makes input, through the Chinese medicine physician diagnosis system, of pathogenesis phenomenon of a patient and personal body information of the patient (such as height, weight, and age) into the Chinese medicine physician diagnosis system, and then the disease and human body parameter loading system to automatically select the most appropriate acupuncture point needle application therapeutic treatment, through a disease and acupuncture point database of the system, in synchronization with automatic search, through a network, for therapeutic treatment associated with the disease of the patient and needle application data including specification of the acupuncture needles and acupuncturing depths and time (the acupuncture therapeutic treatment including parameters for how an infrared marking system and an acupuncture needle plate executing system act on each other), and then the AI operation processing system, together with the acupuncture chamber acupuncture point locking and displaying device, after the entry of the patient, carries out 360 degrees circumferential scanning to automatically calculate the best therapeutic treatment solution and acupuncture point marking position parameter that is most suitable for application of acupuncture needle therapeutic treatment to the patient, and finally, the Chinese medicine physician makes a final decision as to confirmation of whether the needle application operation is automatically implemented by the acupuncture plate needle application device, or the automatic implementation has to be canceled and selection is made for manual application of needle by the Chinese medicine physician; if the automatic implementation is confirmed, then the AI processing system automatically operates the acupuncture plate needle application device in the acupuncture chamber acupuncture point locking and displaying device to automatically implement acupuncture needle application therapeutic treatment on the patient.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=TW&NR=202349408A&KC=A&FT=D&ND=3&date=20231216&DB=&locale=fr_EP
Espace Net,SYSTEMS AND METHODS FOR ARTIFICIAL INTELLIGENCE-BASED IMAGE ANALYSIS FOR DETECTION AND CHARACTERIZATION OF LESIONS.,EXINI DIAGNOSTICS AB [SE],EXINI DIAGNOSTICS AB [SE],"Presented herein are systems and methods that provide for improved detection and characterization of lesions within a subject via automated analysis of nuclear medicine images, such as positron emission tomography (PET) and single photon emission computed tomography (SPECT) images. In particular, in certain embodiments, the approaches described herein leverage artificial intelligence (AI) to detect regions of 3D nuclear medicine images corresponding to hotspots that represent potential cancerous lesions in the subject. The machine learning modules may be used not only to detect presence and locations of such regions within an image, but also to segment the region corresponding to the lesion and/or classify such hotspots based on the likelihood that they are indicative of a true, underlying cancerous lesion. This AI-based lesion detection, segmentation, and classification can provide a basis for further characterization of lesions, overall tumor burden, and estimation of disease severity and risk.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=MX&NR=2022016373A&KC=A&FT=D&ND=3&date=20230306&DB=&locale=fr_EP
Espace Net,ARTIFICIAL-INTELLIGENCE-BASED REMOTE MASSAGE CONTROL METHOD AND SYSTEM,GUANGDONG YIFOSHOU HEALTH TECH CO LTD [CN]; GUANGDONG GUOSHI MEDICAL AND HEALTH RES INSTITUTE [CN]; GUANGDONG XINHUANGPU TRADITIONAL CHINESE MEDICINE JOINT INNOVATION RES INSTITUTE [CN],GUANGDONG YIFOSHOU HEALTH TECH CO LTD [CN]; GUANGDONG GUOSHI MEDICAL AND HEALTH RES INSTITUTE [CN]; GUANGDONG XINHUANGPU TRADITIONAL CHINESE MEDICINE JOINT INNOVATION RES INSTITUTE [CN],"Disclosed in the embodiments of the present application are an artificial-intelligence-based remote massage control method and system. The method comprises acquiring massage basic data of a target user sent by a massage service system, the massage basic data consisting of massage associated posture data and massage habit configuration data; on this basis, inputting the massage basic data into a pre-trained massage control model, and outputting massage control parameter data corresponding to each target massage position of the target user; and according to the massage control parameter data for each target massage position, controlling the massage service system to execute a corresponding massage assembly control operation. Accordingly, model output is performed in consideration of a massage associated posture dimension and a massage habit dimension, thus improving the adaptability of massage assembly control operations and target users.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=WO&NR=2024027406A1&KC=A1&FT=D&ND=3&date=20240208&DB=&locale=fr_EP
Espace Net,ARTIFICIAL INTELLIGENCE-BASED SYSTEM AND PROCESS FOR PRECISION MEDICINE PRACTICE,RAREAI INST [US],RAREAI INST [US],"A system and method for drug discovery is disclosed. The method includes receiving patient multiomics raw data, extracting one or more reports from the patient multiomics raw data, and detecting one or more genome variants in the patient. Further, the method includes determining if the one or more genome variants are one or more known variants or one or more unknown variants, determining if the one or more genome variants are one or more coding variants or one or more non-coding variants, and determining if the patient is suffering from a functional loss or a functional excess. The method includes generating one or more rescue recommendations, determining one or more medical therapies for the patient, and outputting the one or more rescue recommendations and the one or more medical therapies to one or more electronic devices associated with the user.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=US&NR=2024047063A1&KC=A1&FT=D&ND=3&date=20240208&DB=&locale=fr_EP
Espace Net,Orthopedic traction abnormity inspection system based on artificial intelligence,SHANGHAI JIADING CENTRAL HOSPITAL JIADING CENTRAL HOSPITAL SHANGHAI UNIV OF MEDICINE & HEALTH SCIENC,SHANGHAI JIADING CENTRAL HOSPITAL JIADING CENTRAL HOSPITAL SHANGHAI UNIV OF MEDICINE & HEALTH SCIENC,"The invention discloses an artificial intelligence-based orthopaedic traction abnormity inspection system, and relates to the field of orthopaedic traction, the artificial intelligence-based orthopaedic traction abnormity inspection system comprises a main control unit, a scanning unit comprises a three-dimensional graph scanning module, and the three-dimensional graph scanning module is electrically connected with an affected limb three-dimensional image and a bandage three-dimensional image; the examination unit comprises examination of traction work during and after traction, complication observation and traction nursing work, and the diagnosis and treatment recording unit is electrically connected with a nervous system examination module. According to the orthopaedic traction abnormality inspection system based on artificial intelligence, three-dimensional image scanning can be carried out on the affected limb of a patient and the condition of a bandage bound to the affected limb through the scanning unit, so that the abnormality degree during traction can be inspected according to the state condition of the patient and the bandage, and the accuracy of traction is improved. The abnormal range can be judged and processed in cooperation with the difference value calculation module and the comparison module, and medical staff can be quickly notified to process when the affected limb of the patient is abnormal.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117481886A&KC=A&FT=D&ND=3&date=20240202&DB=&locale=fr_EP
Espace Net,Artificial intelligence acute leukemia typing device based on morphological characteristics of bone marrow cells,RUIJIN HOSPITAL SHANGHAI JIAOTONG UNIV SCHOOL MEDICINE; UNIV SHANGHAI JIAOTONG,RUIJIN HOSPITAL SHANGHAI JIAOTONG UNIV SCHOOL MEDICINE; UNIV SHANGHAI JIAOTONG,"The invention relates to an artificial intelligence acute leukemia typing device based on morphological characteristics of bone marrow cells, and the device comprises a bone marrow image collection module which is used for collecting a Wright stain bone marrow image, a POX stain bone marrow image and a CE stain bone marrow image of a case; the bone marrow image recognition and feature extraction module is used for performing image recognition on the Wright stain bone marrow image, the POX stain bone marrow image and the CE stain bone marrow image and extracting bone marrow nucleated cell classification features, leukemia cell POX stain positive features and leukemia cell CE stain positive features; and the acute leukemia typing module is used for inputting the classification features of the bone marrow nucleated cells, the POX staining positive features of the leukemia cells and the CE staining positive features of the leukemia cells into an acute leukemia typing model to obtain a typing result of a case. According to the invention, the morphological AI typing of acute leukemia is realized, and the typing accuracy is improved.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117496258A&KC=A&FT=D&ND=3&date=20240202&DB=&locale=fr_EP
Espace Net,Pt2 +-carbon dot-protoporphyrin sonodynamic drug delivery system as well as preparation method and application thereof,SHANXI LIUWEI ARTIFICIAL INTELLIGENCE BIOMEDICAL RES INSTITUTE,SHANXI LIUWEI ARTIFICIAL INTELLIGENCE BIOMEDICAL RES INSTITUTE,"The invention belongs to the technical field of biological medicine, and particularly relates to a Pt2 +-carbon dot-protoporphyrin sonodynamic drug delivery system and a preparation method and application thereof.The Pt2 +-carbon dot is obtained by loading a Pt2 + modification layer on the surface of a carbon dot, then protoporphyrin is loaded, and the Pt2 +-carbon dot-protoporphyrin sonodynamic drug delivery system is obtained by taking the carbon dot as a core and loading the Pt2 + modification layer on the surface of the carbon dot. According to the sonodynamic drug delivery system with the protoporphyrin modification layer loaded outside the Pt < 2 + > modification layer, the drug delivery system is applied to anti-tumor drugs, can achieve the purpose of screening liver cancer cells and normal cells, has good biocompatibility, has an obvious in-vivo sonodynamic anti-tumor effect, can promote generation of active oxygen, and can be used for preparing anti-tumor drugs. The drug targets a living subcutaneous tumor part and is retained for a long time, the cancer cell death rate is increased, and tumor growth is inhibited; the drug loading system still has an excellent sonodynamic treatment effect in an in-vitro hepatocyte tumor microenvironment model constructed in a 3D mode.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117462678A&KC=A&FT=D&ND=3&date=20240130&DB=&locale=fr_EP
Espace Net,Method for predicting disease pathological characteristics by using artificial intelligence technology,UNIV PEKING 3RD HOSPITAL PEKING UNIV 3RD CLINICAL MEDICAL COLLEGE,UNIV PEKING 3RD HOSPITAL PEKING UNIV 3RD CLINICAL MEDICAL COLLEGE,"The invention discloses a method for predicting disease pathological characteristics by using an artificial intelligence technology, which belongs to the field of medicine, and comprises the following specific steps: (1) collecting and preprocessing large-scale medical images and patient data; (2) storing the processed data to a block chain and extracting key features of the data; (3) constructing a pathological feature prediction model and carrying out correlation analysis on pathological features; (4) the pathological feature prediction model carries out prediction and evaluates the model performance in real time; (5) continuously monitoring the performance of the pathological feature prediction model and updating in real time; according to the method, comprehensive search can be carried out in the feature space, uncertainty and noise existing in complex data such as medical images can be effectively processed, falling into a local optimal solution is avoided, the robustness of the algorithm is improved, the analysis efficiency is improved, potential biological or medical mechanisms can be deeply excavated, the user friendliness of analysis is improved, and the method is suitable for popularization and application. And more complex feature combinations and laws can be found.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117476235A&KC=A&FT=D&ND=3&date=20240130&DB=&locale=fr_EP
Espace Net,Artificial intelligence-based respiratory medicine medical equipment full life cycle supervision system,GUOYANG COUNTY HOSPITAL OF TRADITIONAL CHINESE MEDICINE,GUOYANG COUNTY HOSPITAL OF TRADITIONAL CHINESE MEDICINE,"The invention discloses a respiratory medicine medical equipment full life cycle supervision system based on artificial intelligence, relates to the technical field of full life cycle supervision, and solves the problems that in the prior art, staged state detection cannot be carried out on medical equipment when the medical equipment is used, and the medical equipment is inconvenient to use. The technical problem that state detection cannot be carried out according to different operation and non-operation stages of medical equipment is solved, specifically, state detection is carried out according to different operation and non-operation stages of the medical equipment, the operation stage of a supervision object is divided into an operation stage and a non-operation stage, and synchronous analysis is carried out on the operation stage and the non-operation stage of the supervision object. The cycle link evaluation unit performs link evaluation on the full life cycle of the supervision object, divides the full life cycle links of the supervision object into three links of production, transportation and operation, and obtains evaluation standard parameters of the corresponding links; and after analysis of the evaluation standard parameters, overall early warning is carried out on the whole life cycle of the supervised object through the cycle overall early warning unit.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117476195A&KC=A&FT=D&ND=3&date=20240130&DB=&locale=fr_EP
Espace Net,Method and system for automatically reminding patients with chronic diseases to take medicines on basis of artificial intelligence,THE SECOND AFFILIATED HOSPITAL OF ZHENGZHOU UNVIERSITY,THE SECOND AFFILIATED HOSPITAL OF ZHENGZHOU UNVIERSITY,"The invention relates to the technical field of medical treatment, and particularly discloses a chronic disease patient medication automatic reminding method and system based on artificial intelligence, and the system comprises an intelligent data collection module, a medication reminding subsystem, a personalized adjustment suggestion subsystem and a user adjustment module. The medication reminding subsystem obtains habit characteristic indexes, drug half-life periods, drug bioavailability degrees and drug action characteristic indexes according to the intelligent data acquisition module; the medication reminding subsystem determines the optimal medication time of the target patient according to the habit characteristic index, the medicine half-life period, the medicine bioavailability degree and the medicine action characteristic index of the target patient, personalized medication reminding is provided for the patient according to the health data and the medicine characteristics of the patient, the patient is helped to take the medicine on time and according to the dosage, and the medication efficiency is improved. And the medication compliance is improved.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117457146A&KC=A&FT=D&ND=3&date=20240126&DB=&locale=fr_EP
Espace Net,"Intelligent medicine early warning method, electronic equipment and computer storage medium",CHENGDU FIRST PEOPLES HOSPITAL,CHENGDU FIRST PEOPLES HOSPITAL,"The invention provides an intelligent medicine early warning method, electronic equipment and a computer storage medium, and aims to analyze whether medicines which cannot be taken at the same time exist in the medicines to be taken or not under the condition that the user does not have fixed long-term medicine taking information by identifying and analyzing the information of the medicines which are to be taken at present and uploaded by the user. Under the condition that the user has the fixed long-term medication information, whether the medicines which cannot be taken at the same time exist in the medicines which are taken at the fixed long term and the medicines to be taken or not is analyzed, if the medicines which cannot be taken at the same time exist, an early warning is given to a doctor and the user at the same time, and then the doctor communicates with the user; according to the method, a first neural network model and a second neural network model are constructed, a knowledge graph construction mode is adopted, the advantages of artificial intelligence and big data recognition are fully utilized, machine learning training is carried out in advance, a large amount of different types of medicine information is collected and judged, and early warning is carried out in advance.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117438104A&KC=A&FT=D&ND=3&date=20240123&DB=&locale=fr_EP
Espace Net,Standard training system and method for ultrasonic standard section scanning of children's heart,SHANGHAI CHILDRENS MEDICAL CENTER AFFILIATED TO SHANGHAI JIAOTONG UNIV SCHOOL OF MEDICINE,SHANGHAI CHILDRENS MEDICAL CENTER AFFILIATED TO SHANGHAI JIAOTONG UNIV SCHOOL OF MEDICINE,"The invention discloses a children heart ultrasonic standard section scanning standardized training system and method, and the system comprises a video collection card which is used for collecting the ultrasonic video information of a patient, and converting the ultrasonic video information of the patient into a digital signal; the artificial intelligence server is used for acquiring a section scanning result based on the digital signal; the display terminal is used for displaying the real-time video information of the scanning section; and the voice prompt terminal is used for providing voice guidance and suggestions through the section scanning result by using the real-time video information of the section scanning. The training system is combined with the artificial intelligence technology, personalized training paths and feedback can be provided according to the skill level and progress of students, and therefore the requirements of doctors of different levels can be better met; the training system provided by the invention can train primary ultrasonic doctors to make a standard child heart ultrasonic standard section, and improves the accuracy of the primary ultrasonic doctors in diagnosing congenital heart diseases.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117437816A&KC=A&FT=D&ND=3&date=20240123&DB=&locale=fr_EP
Espace Net,Face video traditional Chinese medicine qi and blood distinguishing system based on computer vision,UNIV CHENGDU TRADITIONAL CHINESE MEDICINE,UNIV CHENGDU TRADITIONAL CHINESE MEDICINE,"The invention discloses a face video traditional Chinese medicine qi and blood distinguishing system based on computer vision. The system comprises a video acquisition module, a video preprocessing module, a feature extraction module, a qi and blood identification module and a model upgrading module. The video acquisition module acquires a face video of a subject; the video preprocessing module cuts a video into video frames; the feature extraction module is used for constructing a qi and blood feature extraction model based on Transform, and extracting qi and blood features of the video frame by using deep neural networks such as a multi-head attention mechanism and 3D convolution; the qi and blood identification module obtains a final identification result and improves model performance through multi-task learning; and the model upgrading module realizes closed-loop optimization of the model by improving the attention of the model on samples difficult to classify. The face video is taken as a sampling medium, the qi and blood feature extraction model is constructed by adopting computer vision and artificial intelligence technologies, traditional Chinese medicine qi and blood differentiation and classification are realized based on the qi and blood features extracted by the model, and human intervention is greatly reduced.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117423041A&KC=A&FT=D&ND=3&date=20240119&DB=&locale=fr_EP
Espace Net,Lower limb artery plaque accurate quantitative evaluation method based on artificial intelligence,THE FIRST AFFILIATED HOSPITAL COLLEGE OF MEDICINE ZHEJIANG UNIV,THE FIRST AFFILIATED HOSPITAL COLLEGE OF MEDICINE ZHEJIANG UNIV,"The invention provides a lower limb artery plaque accurate quantitative evaluation method based on artificial intelligence. The lower limb artery plaque accurate quantitative evaluation method comprises the steps that S1, output files of a plain-scan phase and an enhanced phase in an original lower limb CTA image are acquired, and voxel bicubic interpolation calculation processing is carried out; s2, performing pairwise registration on the plain-sweep phase and the enhanced phase; s3, obtaining a background image file for training; s4, making a CTA plain scanning phase label file and a CTA enhanced phase label file; s5, performing one-to-one correspondence on the background image files in the S3 and the label files in the S4, and dividing a training set, a verification set and a test set; s6, training by using the training set to obtain an extraction network model; s7, obtaining an optimal optimization parameter; s8, constructing a lower limb artery multistage branch blood vessel and lower limb plaque automatic segmentation model; s9, obtaining a prediction label; s10, obtaining a semantic segmentation image with a space measurement unit and real world physical significance; and S11, performing lower limb plaque condition evaluation according to the semantic segmentation image and background image data.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117422676A&KC=A&FT=D&ND=3&date=20240119&DB=&locale=fr_EP
