Publication_Number,Title,Abstract,Inventors,Publication_Date,PDF_Link,resource
US20190339685A1,"Methods and systems for data collection, learning, and streaming of machine signals for analytics and maintenance using the industrial internet of things","A system generally includes a sensor detecting a condition of an industrial machine, the sensor producing a signal that varies over time and substantially corresponds with the condition; an analog to digital converter that receives the signal and samples the signal at a streaming sample rate that is at least twice a dominant frequency of the signal, the sampled signal being output from the analog to digital converter as a sequence of data values; and at least one digital signal router that receives the sequence of data value and a sub-sampling rate, wherein the sub-sampling rate is lower than the streaming sample rate, and produces at least one sub-sampled output sequence of data comprising select samples from the sequence of samples based on at least one of the sub-sampling rate and a ratio of the streaming sample rate and the sub-sampling rate.","Gerald William Duffy, JR.",2019-11-07,https://patentimages.storage.googleapis.com/31/e6/29/881eba23426c56/US20190339685A1.pdf,google patents
US10991463B2,"Computer-implemented system and methods for predicting the health and therapeutic behavior of individuals using artificial intelligence, smart contracts and blockchain",A computer implemented method of predicting the health and therapeutic behavior of patients and making treatment plan recommendations includes the steps of: receiving patient healthcare data having one or more conditions and limiting factors; determining a therapeutic behavior pattern of patient; determining unsuccessful therapies and successful therapies for each condition based on therapeutic behavior pattern; and calculating cost quote for successful therapies based on limiting factors for time period. A computer implemented method of providing cost effective therapy for a patient is also provided and includes the steps of: receiving patient healthcare data; determining unsuccessful therapies and successful therapies; calculating probability of disease progression; calculating possible therapies ranked by probability of successful treatment; calculate cost quote for possible therapies; and paying a smart contract for a selected therapy.,Wayne C. A. Wright,2020-08-27,https://patentimages.storage.googleapis.com/8b/5f/92/58fd6949c1ef12/US10991463.pdf,google patents
US20220375619A1,"System, methods, and apparatuses for managing data for artificial intelligence software and mobile applications in digital health therapeutics","Disclosed herein are systems and methods of a digital therapy service to generate therapy regimen addressing a health condition, which may require the customer to perform various tasks and instruct devices to capture data related to the customer's therapy, including body metric measurements and information related to the number and quality of interactions between the user and aspects of the digital therapy service, sometimes referred to as “user-generated” inputs. The digital therapy service may calculate various metrics, such as scores and milestone determinations, to measure the customer's progress. The scores can be determined using dynamically generated and updated scoring models. Artificial intelligence chatbots may be used to deliver and capture information to and from customers during interactive sessions. Each customer may have a unique chatbot queue that contains the various chatbots that will be used to deliver particular aspects of the customer's therapy.",Mark Berman,2022-11-24,https://patentimages.storage.googleapis.com/61/5c/94/f2b805720bcfb5/US20220375619A1.pdf,google patents
KR102188766B1,Apparatus for providing artificial intelligence based health care service,"The present invention relates to an artificial intelligence-based healthcare service providing apparatus. According to the present invention, the apparatus comprises: a user health information management unit which receives user health information including user information input from a user and user state information including at least one biometric information measured; a user exercise information management unit for receiving user exercise information obtained by measuring the amount of exercise of a user; an external environmental information management unit which collects environmental harmful information outside the user according to a current location of the user; an information analysis processing unit which analyzes the user health information, the user exercise information, and the environmental harmful information to predict a disease that may develop in the user; and a healthcare service providing unit which guides the improvement of the user′s disease by presenting a healthcare role model to the user according to the predicted disease of the user, and providing the role model′s eating habits and exercise habits.",,2020-12-11,https://patentimages.storage.googleapis.com/6e/24/57/6a1c27e4bd6a07/KR102188766B1.pdf,google patents
KR101964733B1,"Personalized health care system based on block chain and artificial intelligence, and method for providing personalized health care service based on block chain and artificial intelligence using the same","According to the present invention, provided is a personalized health care service providing method based on a block chain and artificial intelligence. The method comprises the following steps. Health-related data of a user is encrypted, the encrypted health-related data is blocked to form a chain, and the blocked data is stored in a block chain. A health prediction artificial intelligence server analyzes and tracks the health status change of the user through a big data analysis of the health-related data. And, the health prediction artificial intelligence server derives a preventive measure for preventing the expected disease from the analysis and the prediction result.",,2019-04-02,https://patentimages.storage.googleapis.com/db/52/4e/611d9a3b56e8c0/KR101964733B1.pdf,google patents
US11883153B2,Digital platform to identify health conditions and therapeutic interventions using an automatic and distributed artificial intelligence system,"This disclosure is directed to method and system for automatic, distributed, computer-aided, and intelligent data collection/analytics, health monitoring, health condition identification, and patient preventive/remedial health advocacy. The system integrates (1) distributed patient health data collection devices, (2) centralized or distributed data servers running various intelligent and predictive data analytics engines for health screening, assessment, patient health condition identification, and patient preventive/remedial health advocacy, 3) specifically designed data structures including quantized health indicator vectors, patient health condition identification matrices and patient health condition vectors, (4) portal servers configured to interface with (5) distributed physician terminal devices and (6) distributed patient terminal devices for delivering health condition identification, health interventions and patient preventive/remedial health advocacy, and for monitoring and tracking patient activities. The various intelligent and predictive engines are configured to learn and extract hidden features and correlations from a large amount of data obtained from the distributed data collection devices.",Stephen Moxey,2021-03-25,https://patentimages.storage.googleapis.com/e6/d6/d1/0d8fcf79bc940c/US11883153.pdf,google patents
AU2020264390B2,Enhancing diagnosis of disorder through artificial intelligence and mobile health technologies without compromising accuracy,"A computer system for generating a diagnostic tool by applying artificial intelligence 
to an instrument for diagnosis of a disorder, such as autism. For autism, the 
instrument can be a caregiver-directed set of questions designed for an autism 
classification tool or an observation of the subject in a video, video conference, or in 
person and associated set of questions about behaviour that are designed for use in a 
separate autism classification tool. The computer system can have one or more 
processors and memory to store one or more computer programs having instructions 
for generating a highly statistically accurate set of diagnostic items selected from the 
instrument, which are tested against a first test using a technique using artificial 
intelligence and a second test against an independent source. Also, a computer 
implemented method and a non-transitory computer-readable storage medium are 
disclosed.
WO 2013/062937 PCT/US2012/061422 
1/35 
ALTERNATING DECISION TREE (ADTree) 
99.9%ACCURACY 
AUTISM VS. NOT MET 
AD~ree LAD~ree NNge 148graft
ordinal Class 
*Classifier & J48 
+JRip 
11 
0.95------------- *PART * *OneR _ 
+ RSimplecart 
FilteredClassifier 
+BFTree 
0.99
+CoajunctiveRulo 
0 0.05 0.1 0.15 01 
(.00-SPEcIFCITY) 
FIG. 1 
SUBSTITUTE SHEET (RULE 26)",,2020-12-10,https://patentimages.storage.googleapis.com/a9/da/9d/af8f3e71a13c9d/AU2020264390B2.pdf,google patents
US20220130277A1,Artificial intelligence based health coaching based on breath analyte levels of participants,"A system is disclosed that uses profiles of users, including monitored ketone levels of the users, to assess effectiveness levels of health programs (such as weight loss programs) assigned to the users, and to select health program modifications for the users. The system may use a machine learning (artificial intelligence) algorithm to adaptively learn how to classify users and to select messaging and behavioral modifications for the users. For example, in some embodiments the system classifies the users and provides associated health program recommendations using a computer model trained with expert-classified user data records. As another example, a set of rules may be used to generate the health program recommendations and related messaging, and the set of rules may automatically be modified over time based on feedback data reflective of health program effectiveness levels produced by such rules. In some embodiments the system includes a mobile application that runs on mobile devices of users and communicates wirelessly with breath analysis devices of the users. The mobile application may also communicate with a server-based system that generates the health program recommendations.",Salman A. Ahmad,2022-04-28,https://patentimages.storage.googleapis.com/70/35/0c/b2574a8e2e78d2/US20220130277A1.pdf,google patents
US10089203B2,Artificial intelligence based health management of host system,"This disclosure relates generally to health management, and more particularly to a method and system for artificial intelligence based diagnostic and prognostic health management of host systems. In an embodiment, the system includes a memory to store instructions, and a neural network controller coupled to the memory. The neural network controller is configured by the instructions to monitor a plurality of unique patterns generated in real-time. The plurality of system parameters is indicative of a system-level performance of the host system. The neural network controller is configured by the instructions to compare the plurality of unique patterns with a plurality of predetermined patterns corresponding to the plurality of system parameters to detect potential anomalies in the host system and one or more subsystems of the plurality of subsystems, where the one or more subsystems are responsible for contributing to the potential anomalies in the host system.",Pallanti Srinivasa RAO,2016-12-01,https://patentimages.storage.googleapis.com/ba/7b/80/1695e5fdbf533a/US10089203.pdf,google patents
KR102224188B1,System and method for providing health care contents for virtual reality using cloud based artificial intelligence,"According to one embodiment of the present invention, provided is a cloud-based healthcare content providing system, which comprises: at least one user computer; at least one administrator computer; and a cloud server which mediates data transmission/reception between the at least one user computer and the at least one administrator computer. The user computer generates exercise record data based on the user′s bio-signals measured using a bio-signal sensor and the number of revolutions per hour of indoor exercise equipment measured using the rotation sensor. The exercise record data may be transmitted to the manager computer through the cloud server, and customized healthcare data may be received from the manager computer and output together with the exercise record data on a display. According to one embodiment, the user may be provided with customized healthcare content according to the result of analyzing the exercise record data, and it is possible to conduct cooperative or competitive exercise programs with other users connected through the network.",,2021-03-08,https://patentimages.storage.googleapis.com/6c/5d/30/35e98cc3391367/KR102224188B1.pdf,google patents
