Title,Application Number,Applicant,Inventor,Abstract,Number element
DIGITAL TRADITIONAL CHINESE MEDICINE HEALTH DETECTION AI SYSTEM,A61B 5/00,CHEN NAN,CHEN NAN,"The invention discloses a digital traditional Chinese medicine health detection AI system, and relates to the technical field of tissue organ natural vibration frequency acquisition point diagnosis systems. The digital traditional Chinese medicine health detection AI system comprises an excitation signal wave emission and resonance echo acquisition unit for emitting excitation signal waves and acquiring resonance frequency wave signals of a tested position point; a first processing unit used for processing the resonance frequency wave signal from the excitation signal wave emission and resonance echo acquisition unit to obtain an integration index of a detected person; and a second processing unit used for determining a threshold value for partitioning the resonant frequency wave signal according to the integration index. According to the digital traditional Chinese medicine health detection AI system, human body health detection can be completed in a short time by combining modern medical science and technology and applying a computer technology according to a tissue and organ natural vibration frequency acquisition theory.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
SYSTEM AND METHOD FOR SUPPORTING U-HEALTH BASED ON IOT USING AI,G16C 10/00,인하대학교 산학협력단,KWAK KYUNG SUP,"Disclosed are a system and method for supporting u-Health based on Internet of things (IoT) using AI. The method for supporting u-Health based on IoT comprises the steps of: collecting physical information of a patient sensed through a wearable sensor attached to a body of the patient to store the information in a sensor ontology; determining a health state of the patient by using an interval type-2 fuzzy logic based on the collected physical information and personal information of the patient stored in a database; searching medicine corresponding to the health state of the patient in a drug ontology; searching foods corresponding to the health state of the patient in a food ontology; and recommending the searched medicine and food to at least one of the patient or a doctor. Based on physiological information of a patient collected through the wearable sensor, the present invention provides medicine (prescriptions) and food information fitted for a health state of the patient for the patient and a guardians (family members or caregivers) of the patient, thereby providing a food menu fitted for a health state of a patient without consultation with nutrition professionals. COPYRIGHT KIPO 2019",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
ARTIFICIAL INTELLIGENCE PERSONALIZED HEALTHCARE PLATFORM BASED ON HEALTH INFORMATION IN WHICH ORIENTAL SASANG CONSTITUTION AND MODERN MEDICINE ARE CONVERGED,G06Q 50/22,주식회사 유비벨록스모바일,LEE JAE HONG,"The present invention relates to an artificial intelligence (AI) personalized healthcare platform and, more specifically, to an AI personalized healthcare platform based on health information in which oriental Sasang constitution and modern medicine are converged, which forms, in a single platform, a data-based customized healthcare convergence service environment which collects Sasang constitutional information of oriental medicine, health checkup information of modern medicine, and component information of health functional foods and analyzes the collected information with AI technology to prove a service and model enabling a health functional food consumer to select appropriate health functional food and perform personalized healthcare. To achieve this, the AI personalized healthcare platform comprises: a user terminal providing personal health information of at least one of an individual's diet, exercise status, and family history and checking personalized health information; a health information collection unit for collecting and managing at least one of the personal health information received by the user terminal, Sasang constitutional information of oriental medicine, health checkup information of modern medicine, and component information of health functional foods; and a personalized health information extraction unit for extracting personalized health promotion information corresponding to the personal health information on the basis of the collected Sasang constitutional information of oriental medicine. COPYRIGHT KIPO 2023",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
HEALTH REPORT GENERATION SYSTEM BASED ON MEDICINE HEALTH PAYMENT INTELLIGENT PHARMACY,G16H 15/00,"SHANGHAI MEDITRUST HEALTH TECHNOLOGY CO., LTD.",WANG YEFENG,"The invention relates to the technical field of medical health, and particularly discloses a health report generation system based on a medicine health payment intelligent pharmacy. Thehealth report generation system comprises an intelligent terminal, a data acquisition module, a cloud server, a database, an AI data analysis module and a report generation module; the data acquisition module is arranged on the intelligent terminal and is electrically connected with the intelligent terminal; the intelligent terminal is connected with the cloud server, the cloud server is connected with a database, the background of the cloud server is provided with an AI data analysis module, and the intelligent terminal is provided with a report generation module; the data acquisition module acquires body data and uploads the acquired body data to the cloud server, the cloud server stores the data in a database after receiving the data and transmits the data to the background AI data analysis module for calculation, and a calculation result is fed back to the intelligent terminal, a health report of the user is generated through a report generation module; pre-event and post-event monitoring of a health management process is provided.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
HEALTH VIGOR BAG,A61K 36/899,"CANGZHOU QINGBIQUAN COSMETIC CO., LTD.",AI ZHIMING,"The invention discloses a health vigor bag. A health medicine in the health vigor bag takes notopterygium root, dogwood, ginkgo, ormosia, angelica sinensis, cinnamon, bamboo leaf, radix puerariae, flos sophorae, radix aconiti agrestis, and Chinese date as raw materials, and plays roles in promoting blood circulation, dredging the channel, improving immunity, resisting diseases and treating pain symptoms; from the perspective of use, the health vigor bag has no toxic or side effect and is economic and practical; air holes are formed in a medicine core, so that the defect existing in the prior art that the virus in the human body cannot be excreted as the health vigor medicine blocks airflow exchange is overcome, the medicine and the air mutually exchange and circulate, and furthermore, the medicine absorption capability of the human body is improved, so that the medical health effect of the health vigor bag is effectively improved, and the purposes of treating an illness or exercising are fulfilled.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
AI MEDICAL ALL-IN-ONE MACHINE,G16H 40/63,"XUHUI ZHUOYUE HEALTH INFORMATION TECHNOLOGY CO., LTD.",YANG JINXIAN,"The invention discloses an AI medical all-in-one machine which comprises a body. The body is provided with a display screen, an audio-video assembly, a payment assembly, a voucher printing assembly, acommunication assembly and a control system. The display screen comprises an expanded screen which is arranged at the back surface of an operating screen at the front surface of the body. The audio-and-video assembly comprises a loudspeaker, a microphone, a patient-end camera, a living body monitoring module, a sound-and-image recording module and a video calling module, wherein the loudspeaker,the microphone and the patient-end camera are arranged above the expanded screen, and the living body monitoring module, the sound-and-image recording module and the video calling module are arrangedin the expanded screen. The payment assembly comprises a code scanner arranged at top of the body, and a card swiping module. The voucher printing assembly comprises a printer arranged in the body, and a paper outlet. The communication assembly comprises an interface arranged below the operating screen. The AI medical all-in-one machine can realize content sharing of a doctor and a user; real nameauthentication, sound-and-image recording and remote consultation; and simultaneous diagnosis, treatment and settlement. The AI medical all-in-one machine has advantages of preventing patient waitingin a long queue for performing payment; facilitating the user in taking payment details and a medicine taking voucher; uploading a patient consultation process which comprises an audio file and a video file, realizing backup and facilitating diagnosis and treatment.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
TRADITIONAL CHINESE MEDICINE HEALTH CLOUD SERVICE METHOD BASED ON ARTIFICIAL INTELLIGENCE TONGUE DIAGNOSIS,G16H 10/20,"HEFEI YUNZHEN INFORMATION TECHNOLOGY CO., LTD.",PENG CHENGDONG,"The invention relates to health diagnosis and treatment, and particularly relates to a traditional Chinese medicine health cloud service method based on artificial intelligence tongue diagnosis. The method comprises the steps: performing data acquisition and questionnaire survey on tongue images and physical health conditions of healthy or sub-healthy people in different regions and ages; enablingan expert team to judge the acquired tongue images; determining the traditional Chinese medicine physical health state by combining questionnaires; constructing the traditional Chinese medicine tongue diagnosis big data through a consistent review method; respectively designing artificial intelligence identification models of various tongue image characteristics according to tongue color, moss color, tongue shape, moss quality and collaterals; carrying out autonomous learning or deep learning on the artificial intelligence identification model through using the traditional Chinese medicine tongue diagnosis sample data, so as to realize AI identification and accurate calculation of various characteristics in the tongue images; and designing a traditional Chinese medicine physical health state and viscera syndrome differentiation analysis method combining artificial intelligence tongue diagnosis and intelligent inquiry. According to the technical scheme provided by the invention, the defect that no artificial intelligence traditional Chinese medicine health cloud service based on tongue diagnosis exists at present can be effectively overcome.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
AI-BASED SMART TRADITIONAL CHINESE MEDICINE DIAGNOSIS AND TREATMENT SYSTEM,G16H 20/90,"HUIZHOU YINGRUI TECHNOLOGY CO., LTD.",PENG SHOUGANG,"The invention provides an AI-based smart traditional Chinese medicine diagnosis and treatment system. The system comprises a data collection system, a mobile terminal app and a system reappearing the traditional Chinese medicine physician diagnosis by observation, listening, questioning and feeling pulse. The mobile terminal app comprises a client app, a traditional Chinese medicine doctor end app, a one-to-one traditional Chinese medicine diagnosis module, a traditional Chinese medicine database module, an AI pathology analysis software system, a traditional Chinese medicine shop management module, a transaction module and a traditional Chinese medicine statistical management analysis module. The data collection system is used for collecting health information of a patient and uploading the collected information to the analysis system or directly sending the collected information to the mobile terminal app, and the mobile terminal app registers and stores the received disease information and the patient information, meanwhile, on-duty traditional Chinese medicine doctors on-line are recommended to the patient through the one-to-one traditional Chinese medicine diagnosis module. The AI-based smart traditional Chinese medicine diagnosis and treatment system has the advantages of being convenient to use, high in pertinence and high in diagnosis efficiency, and has great economic and social values.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
USER MEDICINE PURCHASING SYSTEM AND METHOD BASED ON AI SYSTEM,G16H 20/10,"BEIJING MEDICAL UNION LANCARE ONLINE TECHNOLOGY CO., LTD.",YU HAOBO,"The invention relates to a user medicine purchasing system and method based on an AI system. The method comprises the following steps: a main system records daily medicine purchasing information of aspecified user in real time, and generates user medicine purchasing details; a first analysis module obtains user body disease information according to the user medicine purchasing details generatedby the main system; a communication module calls user body data information stored in a health record system; after a second analysis module calls specified user body disease information and specifieduser body data information, a user medication attention detail is generated; and an AI system matches the two items of data according to the medication attention detail of the specified user and theinformation stored in a drug information database. By establishing the user medicine purchasing system, medicine circulation can be limited, medicine poisoning accidents caused by lack of medicine taking knowledge of patients can be prevented, the medicine taking safety of the patients is guaranteed, and recovery of the patients is facilitated.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
PUBLIC HEALTH PREVENTIVE MEDICINE BACTERIA COLLECTION DETECTION DEVICE,C12M 1/38,AI YANMEI,AI YANMEI,"The utility model discloses a public health preventive medicine bacteria collection detection device which comprises a base, a detection box and installation grooves, a control box is installed on the top of the base, the detection box is installed on the top of the base and located on one side of the control box, and the installation grooves are symmetrically formed in the inner walls of the two sides of the detection box. A moving table is movably mounted on the inner wall of the bottom of the detection box, a placement groove is formed in the top of the moving table, a plurality of limiting rings are mounted in the placement groove, and a mounting cylinder is mounted at the top of the detection box in a penetrating manner. The placing groove is formed in the top of the moving table, the placing groove is used for placing a substance to be detected, and the limiting rings are mounted in the placing groove, so that when the substance to be detected is placed, the limiting rings can be adjusted according to vessels with different sizes; and vessels with different sizes can be stably placed in the center positions of the placing grooves, so that workers can check the vessels conveniently.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN320809660&_cid=P12-LTRE0S-24981-1
